Where are you from? 	고향이 어디십니까? 
I'm aware that they're all white. 	그들이 순백색이라는 걸 알고 있습니다. 
He is given his next command at the earliest possible convenience. 	가장 빠른 편리한 시간에 그가 차기 함장으로 부임합니다. 
I just wanted to say thank you. 	그저 감사하다고 말씀드리고 싶습니다. 
Forget the penny and get the quarters.	1센트짜리는 그만두고 25센트짜리만 집어요. 
It's a miracle. 	기적입니다. 
We've got two options. 	두 가지 선택을 주겠어요. 
You're undermining things. 	당신은 일을 망치고 있어요. 
`What does he look like, Dad? `	`그 사람은 어떻게 생겼어요, 아빠? `
I haven't seen him in twenty-five years. 	나는 그 사람을 25년 동안 만나지 못했습니다. 
You haven't changed at all. 	당신은 하나도 변하지 않았어요. 
I apologize for my wife. 	제 아내에 대해 사과드립니다. 
Sorry about being so late. 	늦어서 미안합니다. 
They just called my name. 	그들이 방금 내 이름을 불렀습니다. 
Let me tell you a few things about him. 	그 분에 대해서 몇 말씀 드리겠습니다. 
I'd like to thank Mrs. Pike for the warm welcome. 	따뜻한 환영에 대해서 파이크 부인에게 감사드립니다. 
What did you mean by that? 	그건 무슨 뜻입니까? 
You don't have the slightest idea of what you're talking about. 	당신은 지금 자신이 무슨 말을 하고 있는지 전혀 모르시는군요. 
Aren't you a little young for French? 	프랑스어를 배우기에 당신은 좀 어리지 않을까요? 
That's enough French for today. 	오늘 프랑스어는 그만하면 충분합니다. 
Did I use the term improperly? 	제가 그 용어를 부적절하게 사용했습니까? 
I couldn't be prouder. 	나는 더 이상 자랑스러울 수가 없어요. 
Tell her to hurry up. 	그녀에게 서두르라고 해요. 
Maybe you better just stay put. 	그대로 계시는 게 좋겠어요. 
`May I take your order, please? `	주문하시겠습니까?
That comes to ten eighty-seven. 	10달러 87센트 되겠습니다. 
I hope we're not late. 	우리가 늦지 않았기를 바랍니다. 
What I just slap you? 	내가 당신을 치면 어떻게 되겠습니까? 
`The cleaner the ball, the better the play. `	공이 깨끗할수록 게임이 잘 됩니다. 
Let me wash your balls for you. 	당신 공을 씻어 줄게요. 
Check him out. 	이 분을 돌봐 드려요. 
He could have a heart attack. 	그는 심장마비를 일으킬 수도 있습니다. 
Would it be possible for us to see Dr. Bond perform the procedure? 	저희들이 본드 박사의 시술 과정을 볼 수 있을까요? 
I get a headache just thinking about that. 	그것을 생각만 해도 두통이 납니다. 
There's another guy out there somewhere. 	어딘가에 다른 남자 애가 있어요. 
You've got to get over this thing. 	당신은 이것을 극복해야 합니다. 
All I've ever done is take. 	내가 해온 일이라곤 그저 받는 일 뿐이었습니다. 
I learned something these past few days. 	저는 지난 며칠 동안 중요한 것을 배웠어요. 
All they want you to do is say that you love them. 	그들이 원하는 것은 단지 당신이 그들을 사랑한다고 말하는 것입니다. 
I'm not through yet. 	아직 끝나지 않았습니다. 
Will you quit lying to yourself? 	자신에게 거짓말하는 것을 그만두시지요. 
You'll be rich in love. 	당신은 사랑으로 부유하게 될 것입니다. 
You must be Kevin Franklin. 	당신이 케빈 프랭클린임에 틀림없겠군요. 
I strongly suggest that you lower that weapon. 	그 무기를 내려놓을 것을 강력히 건의합니다. 
Truly a great pleasure to meet you. 	당신을 만나서 정말 기쁩니다.
We trusted you with our kids. 	우린 당신에게 우리 아이들을 맡겼습니다. 
`If I were you, I'd stay out of it. `	내가 당신이라면 그 일에서 물러나겠습니다. 
Will you forgive me? 	저를 용서해 주시겠습니까? 
He made me stand up to my boss. 	그는 나로 하여금 사장에게 맞서도록 했어요. 
Is that the problem? 	그게 문제란 말입니까? 
This ticket could be worth one million dollars. 	이 복권이 백만 달러의 가치가 있을 수도 있어요. 
You're still a rich man. 	당신은 아직도 부유한 사람입니다. 
You almost totalled this car up. 	당신은 이 차를 거의 부숴버릴 뻔했어요. 
`This book paid for this Porsche, didn't it? `	`이 책이 이 포쉐를 사 준 거예요, 그렇죠? `
Let's get some grub. 	뭐 좀 먹읍시다. 
Load the grill with fatty meat. 	기름진 고기를 석쇠에 올려놔요. 
It isn't often that we have an applicant. 	우리가 지원자를 받는 일은 흔하지 않습니다. 
You don't look like a Marine. 	당신은 해병같이 보이지 않습니다. 
I'll cut to the chase. 	요지를 바로 말하겠습니다. 
I thought this was an interview. 	저는 이것을 면접으로 알고 있었습니다. 
I'll be counting on it. 	저는 그것을 기대하고 있겠습니다.
Don't try to shout over them. 	그들보다 큰 소리로 말하려고 하지 마세요. 
That's how they weed them out. 	저들은 그런 식으로 그들을 제거합니다. 
You could have warned me! 	저에게 경고할 수 있었잖아요! 
You don't even know any throws. 	당신은 넘기기 동작도 모르고 있습니다. 
You're going to turn your body away from him. 	당신은 그에게 등을 돌릴 것입니다. 
This is an office. 	여기는 사무실입니다. 
That's almost impossible. 	그것은 거의 불가능합니다. 
`The newer the teacher, the smarter she is. `	새로 온 선생님일수록 똑똑합니다. 
Don't let them get to you. 	그들이 당신의 기분을 상하지 못하게 하세요. 
Who‘s your favorite poet? 	당신이 제일 좋아하는 시인은 누구입니까? 
He had a drinking problem? 	그에게 음주 문제가 있었습니까? 
That's a good point. 	그것은 좋은 지적입니다. 
A lot of people think so. 	많은 사람들이 그렇게 생각합니다. 
They look like Maggie. 	그들은 매기를 닮았습니다. 
How is Maggie? 	매기는 어떻습니까? 
You shouldn't have done that. 	당신은 그렇게 하지 말았어야 했습니다. 
You promised! 	당신은 약속을 했습니다! 
This is another Dylan poem. 	이것은 딜런의 또 다른 시입니다. 
What does that mean? 	그것은 무슨 뜻입니까? 
Do you agree with that? 	당신도 그것에 동의합니까? 
He is not going to help you out.	그는 당신을 도와주지 않을 것입니다. 
You informed no one. 	당신은 누구에게도 알리지 않았습니다. 
I paid for them. 	제가 그들을 대신해서 지불했습니다. 
Ever hear of it? 	그것에 대해 들어본 적이 있습니까? 
You win. 	당신이 이겼습니다. 
He can't help but notice you. 	그는 당신에게 관심을 가질 수밖에 없습니다. 
I'll have the chicken. 	저는 닭으로 주문하겠습니다. 
`Just between you and me, ~. `	털어놓고 말하자면 ~입니다. 
I thought it would be good for me. 	저는 그것이 저를 위하는 일이라고 생각했습니다. 
Don't make a fuss. 	야단법석 떨지 마세요. 
We prefer chocolate. 	우리는 초콜릿을 선호합니다. 
She is free to do anything. 	그녀는 무엇이든지 할 수 있는 자유가 있습니다. 
It is dangerous to carry a gun. 	총을 들고 다니는 것은 위험합니다. 
You are probably not married. 	당신은 아마도 결혼하지 않았을 것입니다. 
I was married. 	저는 결혼을 했었습니다. 
I haven't seen you in a week. 	저는 당신을 일주일 만에 봅니다. 
That's not in their future. 	그것은 그들의 미래에 없습니다. 
We can go to the police. 	우리는 경찰에 신고를 할 수 있습니다. 
Can we drop you? 	태워 드릴까요? 
He won't serve hard time. 	그는 징역을 치르지는 않습니다. 
This will make the difference. 	이것이 변화를 줄 것입니다.
He is with the police. 	그는 경찰과 같이 있습니다. 
What would you like me to say? 	제가 어떻게 말하기를 원하세요? 
I am just getting a head start. 	저는 그저 미리 시작하는 것일 뿐입니다. 
Are you kidding? 	당신은 농담을 하시는 것입니까? 
I heard that you were leaving. 	저는 당신이 떠난다고 들었습니다. 
I realized that this was my last chance. 	저는 이것이 저에게 마지막 기회임을 깨달았습니다. 
What on earth were you doing? 	도대체 뭘 하고 있었어요? 
There's not much to do in Elma. 	엘마에서는 별로 할 일이 없어요. 
Don't waste your time with us. 	우리에게 당신의 시간을 허비하지 마세요. 
We had the worst test scores in the state. 	우리는 주 전체에서 제일 나쁜 시험 성적을 기록했어요. 
Come and show the class where New York is. 	이리 와서 뉴욕이 어디에 있는지 학생들에게 보여주세요. 
May I come in? 	들어가도 되겠어요? 
You run back with your heads held high. 	여러분은 고개를 높이 들고 다시 뛰어 들어와야 해요. 
They get rid of fear. 	그것들은 공포를 없어지게 해요. 
They're more shaped like a lemon. 	그것들은 레몬 모양을 더 많이 닮았어요. 
`What I call football, you call soccer. `	제가 풋볼이라고 부르는 것을 당신들은 축구라고 부르지요.
You're showing such potential. 	여러분들은 많은 가능성을 보여주고 있어요. 
That's the end of it for today. 	오늘은 그것으로 끝이에요. 
Can you do me a personal favor? 	개인적인 부탁 하나 들어주시겠어요? 
I'd never pass for twelve years old. 	저를 열두 살로 봐 줄 사람은 없을 거예요. 
I'm here as a coach. 	전 코치로 여기 왔어요. 
It's an after school thing. 	그것은 방과 후에 하는 거예요. 
We'll tell you later. 	우리가 나중에 말해드리겠어요. 
He just happened to be in the car. 	그는 그저 우연히 차에 있었을 뿐이에요. 
Why bother? 	왜 상관이에요? 
We'll be with you in a minute. 	우리가 곧 가마. 
We were undefeated. 	우리는 패배한 적이 없어요. 
I can't stand his kids. 	나는 그의 아이들을 견딜 수가 없어요. 
It's moments like these that build character. 	바로 이러한 순간들이 인격을 형성하지요. 
We may not be the sharpest tools in the shed. 	우리가 헛간 안에서 제일 날카로운 연장이 아닐 수도 있어요. 
We're all proud of you. 	우리는 여러분들 모두가 자랑스러워요. 
This is embarrassing. 	이건 창피한 일이에요. 
Even bad teams have names. 	형편없는 팀도 이름은 있어요. 
If only we could play. 	우리가 경기를 잘 할 수만 있다면. 
I'll probably just end up being a checker. 	저는 아마도 결국에는 수납원이 될 거예요. 
You don't fool me. 	당신은 저를 속일 수 없어요. 
He's awesome!	그는 캡이에요! 
Too bad he doesn't have a twin. 	그에게 쌍둥이가 없어서 탈이에요. 
Playing like a team right now is more important. 	지금은 한 팀처럼 경기를 하는 것이 더 중요해요. 
You gotta support each other. 	여러분은 서로를 지지해줘야 해요. 
We figured out what makes us special. 	우리는 우리를 특별하게 해주는 것이 무엇인지 깨달았어요. 
If it isn't Jay Huffer. 	이거 제이 허퍼가 아닌가요. 
It's hard to believe that kid's a star. 	저 아이가 스타라는 게 믿기지가 않아요. 
Things would be better if people stay put. 	사람들이 움직이지 않으면 모든 것이 더 좋을 거예요. 
I've been looking for you. 	당신을 찾고 있었어요. 
Tom had no idea they were gonna leave. 	톰은 그들이 떠날 거라는 생각은 전혀 못했어요. 
I hate to break it to you. 	당신에게 (나쁜 소식을) 알리기 싫어요. 
He'll be here any minute. 	그는 곧 여기로 올 거예요. 
We have a tradition down here among the coaches. 	우리는 코치들 사이에 사소한 전통이 있죠. 
I wouldn't say no to a kiss. 	키스를 해준다면 반대하지는 않을 거예요. 
You're a whole lifetime away from having a brain. 	당신이 뇌를 가지려면 평생을 기다려야 해요. 
Give me some room here. 	저에게 공간을 좀 주세요. 
We have a late arrival. 	늦게 도착한 선수가 있어요. 
Take it easy. 	긴장을 풀어요. 
Replacing number three will be number ten. 	3번을 대신해서 10번이 들어가요. 
They're going into the net. 	그들이 골을 향해 들어가고 있어요. 
I need a volunteer for the last position. 	저는 마지막 포지션을 위해 지원자가 필요해요.
What do you think? 	어떻게 생각하세요? 
You all have no interest in learning. 	여러분 모두가 배우는 것에 대해 관심이 없어요. 
Where'd you learn to do that. 	그렇게 하는 건 어디서 배웠어요? 
You have a paper due tomorrow. 	당신은 내일 제출해야 할 숙제가 있어요. 
Make yourself comfortable. 	편안하게 쉬세요. 
I wanna read it to you. 	당신에게 읽어주고 싶어요. 
You're stuck with them now. 	당신은 이제 그들에게서 벗어날 수 없어요. 
He cannot help it. 	그도 어쩔 수 없어요. 
Try not to be so angry. 	너무 화내지 않도록 노력해 봐요. 
I'd appreciate an answer. 	대답을 해줬으면 좋겠어요. 
I already know how to read. 	저는 이미 글을 읽을 줄 알아요. 
We're in the music business. 	우리는 음악과 관련된 일을 하죠. 
I gotta work on the melody a little bit. 	멜로디를 조금 더 고쳐야 해요. 
It's gonna take some time. 	그건 시간이 좀 걸릴 거예요. 
Don't let everything fall apart. 	모든 것을 헛되게 하지 마세요. 
You gave your child up for adoption. 	당신은 입양시키려고 자신의 아이를 포기했어요.
You made no effort to find him. 	당신은 그를 찾으려는 노력을 하지 않았어요. 
We take on cases that are socially relevant. 	우리는 사회복지와 관련이 있는 사건만 맡아요. 
Your case fits that profile. 	당신의 경우는 그러한 개요와 들어맞아요. 
This is what I do for a living. 	이건 제가 생업으로 삼는 일이에요. 
The adoption is final. 	입양은 결정이 된 일이에요. 
What's different about them? 	그것들의 차이점이 뭐예요? 
Come set the table for dinner. 	이리 와서 저녁 식탁을 차려 주세요. 
How much does this place cost? 	이 집은 가격이 얼마나 돼요? 
How much can you afford? 	당신은 돈을 얼마나 낼 수 있어요? 
It's part of my job. 	제 직업에 따른 부속적인 일이에요. 
Don't flatter yourself. 	자신을 과대평가하지 마세요. 
You never took money for babysitting? 	당신은 아이를 봐주고 돈을 받은 적이 전혀 없어요? 
I assume that he won't be helping you. 	그가 당신을 돕지 않을 거라고 생각됩니다. 
This can be the result of drug use. 	이것은 마약을 사용한 결과라고 할 수 있어요. 
Stress usually aggravates these symptoms. 	스트레스는 보통 이러한 증상을 악화시켜요. 
We do this all the time. 	우리는 항상 이런 일을 하지요. 
It can take years. 	그건 몇 년씩 걸릴 수도 있어요. 
You are putting policy above the children. 	당신은 아이들보다 정책을 우선으로 두고 있어요. 
The black child is better off with black parents. 	흑인 아이는 흑인 부모하고 있는 게 더 행복해요. 
It doesn't seem to matter to him. 	그건 그에게는 상관이 없는 것 같아요. 
We read Isaiah all sorts of books.	우리는 아이제야에게 여러 가지 책을 읽어줘요. 
You're his only hope. 	당신이 그의 유일한 희망이에요. 
Only you can save him. 	오직 당신만이 그를 구할 수 있어요. 
I want you to keep it. 	전 당신이 이걸 간직하고 있기를 바라요. 
Nobody can ever change that. 	어느 누구도 그걸 절대로 바꿀 수 없어요. 
I know what it's like to be scared. 	저도 두려운 게 어떤 건지 알아요. 
They're right over there. 	그것들은 바로 저쪽에 있어요. 
Let's leave everything exactly the way it is. 	우리의 모든 것을 정확하게 있는 그대로 놔둬요. 
Get out of my way! 	비켜요! 
It's only been two weeks. 	겨우 이 주일이 지났을 뿐이에요. 
I used to sit under a chair. 	저는 의자 밑에 앉아있고는 했어요. 
Try a french fry. 	감자튀김 한번 먹어봐요. 
Take a bite of your hamburger. 	당신의 햄버거를 한 입만 먹어봐요. 
Why do I always have to get the phone? 	왜 항상 제가 제화를 받아야만 되죠? 
Is he all right? 	그는 괜찮아요? 
What are you talking about? 	무슨 말을 하시는 거예요? 
I'm giving him back to you. 	그를 당신에게 돌려드리겠어요. 
I can't lose my edge. 	저는 저의 우위를 뺏길 수는 없습니다. 
You arrive on the scene. 	당신은 현장에 도착합니다. 
I had a minor setback. 	제게 작은 문제가 생겼습니다. 
I made some calls. 	저는 백을 좀 썼습니다. 
What are you running from? 	당신은 무엇으로부터 도망치고 있습니까? 
Take your mind off that pain. 	그 고통은 생각하지 마세요. 
You're in charge of the green boys. 	당신이 녹색 소년들을 맡았군요. 
Come again? 	다시 말씀해 주시겠습니까? 
That's for speaking out of line. 	그건 무례하게 말을 했기 때문입니다. 
Let me break it down. 	풀어서 설명해 드리겠습니다. 
You've got a sense of humor. 	당신은 유머 감각이 있습니다. 
Way to go this time. 	이번엔 참으로 잘한 짓입니다. 
He's upset about this morning. 	그는 오늘 아침의 일 때문에 마음이 상했습니다. 
I owe you an apology. 	제가 당신에게 사과를 해야겠습니다. 
That's just my point. 	그게 바로 제 말의 요지입니다. 
Why don't you and I become partners? 	당신과 내가 동료가 되면 안 되겠습니까? 
He's already starting to get on my nerves. 	그는 벌써부터 내 신경을 건드리고 있습니다. 
He's familiar with my medical history. 	그는 제 병력에 대해 잘 알고 있습니다. 
Grab a rack and settle in. 	침대를 골라서 자리를 잡도록 하세요. 
I'll stretch it out. 	저는 그것을 낚아챌 것입니다.
I can barely do it. 	저도 그것을 간신히 합니다. 
It's not a life or death situation. 	이건 생사가 걸린 문제가 아닙니다. 
They started it. 	그들이 먼저 시작했어요. 
This is the best way to gain the trust of them. 	이것은 그들의 믿음을 얻기 위한 최선의 방법입니다. 
It'll draw them close together. 	그것은 그들을 더 가깝게 뭉쳐줄 것입니다. 
It won't backfire. 	그것이 실패하지는 않을 겁니다. 
Love is the key to understanding. 	사랑은 이해의 열쇠입니다. 
I might have glanced at it once or twice. 	한 번이나 두 번 정도 얼핏 봤을 수도 있습니다. 
That's the last thing he needs right now. 	그건 지금 그에게 가장 필요하지 않은 거예요. 
You're scaring the life out of him. 	당신은 그를 혼비백산하게 하고 있어요. 
Payne just terminated that bad man. 	페인이 방금 그 나쁜 남자를 없애 버렸어요. 
That man ain't going to bother you no more. 	그 남자는 더 이상 당신을 귀찮게 하지 않을 겁니다. 
You are no longer the squad leader. 	당신은 더 이상 분대장이 아닙니다. 
You have led them to a victory. 	당신이 그들을 승리로 이끌었습니다. 
You will pay the price! 	당신은 대가를 치를 것입니다! 
This is our big chance to get rid of Payne. 	이건 우리가 페인을 없앨 수 있는 큰 기회입니다. 
What do you like to do for fun? 	당신은 재미로 무엇을 하기 좋아합니까? 
I take my gun apart. 	제 총을 분해합니다. 
I really had a nice time tonight. 	전 오늘 저녁에 정말 즐거운 시간을 보냈습니다. 
It's from my heart. 	제 마음에서 우러나는 것입니다. 
You set us up.	당신은 우리를 속였습니다. 
You didn't think they were just gonna hand it to you? 	당신은 그들이 그걸 그냥 넘겨줄 거라는 생각을 한 건 아니겠지요? 
I am your legal guardian. 	저는 당신의 법적인 보호자입니다. 
Don't you walk away from me. 	저에게 등을 돌리지 마세요. 
`They kicked you out, remember? `	`그들은 당신을 추방시켰습니다, 기억이 납니까? `
He's on my time now. 	그는 지금 제 책임 하에 있습니다. 
`What, you want to steal it? `	`뭐, 당신은 그것을 훔치고 싶습니까? `
I want to earn it. 	저는 그것을 획득하고 싶습니다. 
They're through with you. 	당신은 더 이상 그들에게 쓸모가 없습니다. 
They're just gonna cut you loose again. 	그들은 그저 당신을 다시 놓아줄 뿐이에요. 
We don't have a chance without Payne. 	우린 페인 없이는 가망이 없습니다. 
We busted our asses off. 	우린 죽을 힘을 다했어요. 
I demand that the Madison squad be disqualified. 	저는 메디슨 분대를 실격시킬 것을 요구합니다. 
What could be more important than my boys winning? 	제 생도들이 이기는 것보다 더 중요한 것이 뭐가 있겠습니까? 
Find away to leave their world behind. 	그들의 세상을 뒤에 남기고 갈 방법을 찾으세요. 
I quit playing board games five years ago. 	전 5년 전에 게임판 갖고 노는 것을 그만뒀습니다. 
It was pretty hard to pass up.	상당히 놓치기 아까운 것이었습니다. 
He and his wife passed away just last winter. 	그와 그의 부인은 바로 작년 겨울에 돌아가셨어요. 
I'm sick and tired of your lies. 	전 당신의 거짓말에 진절머리가 납니다. 
You're grounded. 	당신은 외출금지입니다. 
Cut that out. 	그만 두세요. 
She got held up at the permit office. 	그녀는 면허청에서 오래 걸렸습니다. 
Do not begin unless you intend to finish. 	끝낼 생각이 없다면 시작을 하지 마세요. 
He will go only when you tell him to. 	그는 당신이 가라고 할 때에만 갈 것입니다. 
Get down off of my car. 	제 자동차에서 내려오세요. 
Get up on the sidewalk. 	인도 위로 올라가세요. 
I see them now and then. 	저는 가끔 그들을 만납니다. 
There he goes again. 	저기 그가 또 시작이야. 
Get in the car. 	차에 타세요. 
It's just a bug. 	저건 단지 벌레일 뿐입니다. 
I've never shaved before. 	난 한 번도 면도를 해본 적이 없습니다. 
`Pretty much, take up where I left off. `	`아마, 내가 그만둔 시점에서 다시 시작을 해야겠죠. `
You have no idea what you're getting yourself into. 	당신은 자신이 하고자 하는 것에 대해 아무것도 모르고 있습니다. 
We'll handle it by ourselves. 	우린 그것을 우리 스스로 해결하겠습니다. 
There are things that haunt you in the night. 	밤에 당신을 괴롭히는 것들이 있습니다. 
You will not last five minutes without me. 	당신은 제가 없으면 5분도 채 못 견딜 겁니다. 
Daddy used to pull it on me all the time. 	아빠는 항상 저한테 그 수법을 쓰곤 하셨습니다.
It's not working. 	그건 작동이 되지 않습니다. 
We're just trying to find someone. 	우린 그저 누군가를 찾으려고 합니다. 
I don't go by that name anymore. 	저는 더 이상 그 이름을 쓰지 않습니다. 
The doctor will call you back. 	박사님께서 전화를 다시 드리겠습니다. 
Call me back as soon as you can. 	가능한 한 빨리 제게 전화를 주세요. 
Take care or they'll come after you. 	조심하지 않으면 그들이 당신을 쫓아올 겁니다. 
Stay away from the walls. 	벽에서 멀리 떨어져 있어요. 
It ruined my life. 	그건 내 인생을 망쳤습니다. 
A bunch of bats chased me down the street. 	박쥐 떼가 길을 따라가며 날 쫓아왔습니다. 
We just have to keep our heads. 	우린 그저 침착을 잃지 않으면 됩니다. 
He makes me feel like a child. 	그는 나를 어린아이와 같은 기분이 들게 합니다. 
Staying put would be a blunder. 	그 자리에 가만히 있는 건 실수를 하는 겁니다. 
Don't look back! 	뒤돌아보지 마세요! 
He'll head for water! 	그는 물로 향할 겁니다! 
You have the wrong number. 	전화를 잘못 거셨습니다. 
You'll slip back even more than your token. 	당신은 자신의 말보다 훨씬 더 퇴화할 겁니다. 
That would be cheating. 	그건 반칙에 해당됩니다. 
That should do the trick. 	그렇게 하면 목적을 달성시킬 수 있을 겁니다. 
Just hold still. 	그냥 가만히 있어요. 
It's not a church anymore. 	그건 더 이상 교회가 아닙니다. 
I don't know what's left of it.	그것에 대해 뭐가 남아있는지는 모르겠습니다. 
Keep your chin up. 	기운을 내세요. 
Face it like a man. 	사나이처럼 맞서세요. 
It's my turn. 	제 차례입니다. 
At least we're inside. 	적어도 우린 집안에 있습니다. 
Put the dice in your mouth! 	주사위를 당신의 입속에 넣어요! 
You're almost there with much at stake. 	당신은 많은 위기에 처한 상태로 거의 다 왔습니다. 
It wasn't Carl Bentley's fault. 	그건 칼 벤틀리의 잘못이 아닙니다. 
That's okay as long as we don't forget each other. 	우리가 서로를 잊어버리지 않는 한 그건 괜찮습니다. 
I gotta run. 	전 가야만 합니다. 
You'll be the best Christmas gift of all. 	당신은 최고의 크리스마스 선물이 될 겁니다. 
Nine out of ten first prizes for jams. 	잼 부문에서 열 개 중 아홉 개의 일등상. 
Luck still plays its part. 	그래도 운은 자기 역할을 합니다. 
The pig and the farmer regarded each other. 	돼지와 농부는 서로를 주시했습니다. 
`For a fleeting moment, something passed between them. `	`아주 잠깐 동안, 그들 둘 사이에 뭔가가 오갔습니다. `
What did your mother call you? 	어머니는 당신을 뭐라고 불렀습니까? 
I left my mother when I was your age.	내가 네 나이였을 때 난 내 엄마를 떠났어요. 
We've got to do something about that duck. 	저 오리에 대해 뭔가 조치를 취해야만 하겠습니다. 
Who‘d want to eat a duck? 	누가 오리를 먹으려고 할까요? 
They'll run a sheep down. 	그들은 (곧잘) 양을 몰아서 쓰러뜨립니다. 
I wouldn't want to see you mixing with them. 	전 당신이 그들과 어울리는 것을 보고 싶지 않군요. 
The morning of the terrible crime started like any other. 	지독한 범죄가 있던 날 아침은 여느 아침과 같이 시작했습니다. 
That's quite a nice musical ring. 	저건 꽤 기분 좋은 음악적인 소리예요. 
The alarm clock had to go. 	그 자명종 시계는 없어져야만 했습니다. 
His very life depended on it. 	바로 그의 목숨이 거기에 달려 있었습니다. 
The fact is that humans like to eat ducks. 	사실인즉 인간들은 오리를 즐겨 먹습니다. 
I turned to crowing. 	저는 수탉 울음소리로 방향을 전환했어요. 
I suppose it doesn't amount to much. 	그건 그리 대단한 게 못되는 것인가 봅니다. 
My life is in your hands. 	제 목숨은 당신 손에 달렸습니다. 
I was trying to loosen things up. 	저는 규칙을 완화시키려고 했던 겁니다. 
`From now on, we'll all respect the rules. `	`지금부터는, 우리 모두가 규칙을 준수합니다. `
I forbid you to consort with that duck. 	나는 당신이 그 오리와 교제하는 것을 금하겠어요. 
That goes for all of us. 	그건 우리 모두가 마찬가지입니다. 
That time was all too soon for Fly. 	플라이에게는 그 시기가 너무나도 빨리 왔습니다. 
May I call you Mom? 	제가 엄마라고 불러도 될까요? 
Time had run out for the pig. 	돼지에게는 더 이상 시간이 없었습니다. 
Shame to miss out on the best ham prize. 	최고 햄 상의 기회를 놓치는 것이 유감스럽습니다.
I can't take it anymore! 	난 더 이상 이걸 견딜 수가 없어요! 
It eats away at the soul. 	그건 영혼을 먹어 들어가고 있습니다. 
These accounts are a real worry. 	이 수지 계산이 정말 걱정입니다. 
You need to modernize. 	당신은 현대화할 필요가 있어요. 
They'll walk all over you! 	그들은 당신에게 기어오를 거예요! 
Bend them to your will. 	당신의 의지대로 그들을 다루세요. 
You better leave that to me. 	그건 제게 맡기는 게 좋을 것 같습니다. 
It's not worth all this misery. 	이렇게까지 괴로워할 가치가 없는 일입니다. 
`Two weeks rest, saw him back on his feet. `	이 주일을 쉬자 그는 다시 기운을 회복했습니다. 
His hearing was never the same again. 	그의 청각은 결코 예전과 같지 않았습니다. 
Every barrel has its bad apples. 	통마다 썩은 사과는 있기 마련입니다. 
I got a bit carried away. 	제가 좀 흥분했었습니다. 
Sooner or later every pig gets eaten. 	조만간에 모든 돼지는 먹히게 됩니다. 
That's the way the world works. 	그게 바로 세상이 돌아가는 이치입니다. 
The Kingsmith Showground is in the heart of Sheep Country. 	킹스미스 시합장은 면양의 고향의 한 가운데에 위치해 있습니다. 
The weather's been a little patchy. 	날씨가 조금 고르지 못했습니다. 
You'll have to speak up. 	좀 더 크게 얘기를 해줘야 하겠습니다. 
Do what you're told by a sheep for a change. 	한번쯤은 양이 하라는 대로 한 번 해보세요. 
This might be a use to our pig. 	이것은 우리의 돼지에게 쓸모 있을지도 모릅니다. 
Wolf must avoid biting us sheep at all costs. 	늑대는 우리 양들을 무는 것은 어떻게 해서든 피해야 합니다. 
Give him a few tips on how to be a sheep pig.	그에게 양치기 돼지가 되는 방법에 대해 몇 가지 조언을 해주세요. 
It's up to him now. 	이제 그에게 달렸어. 
There were two figures who stood side by side. 	나란히 서 있는 두 형상이 있었습니다. 
Every single human was at a loss for words. 	단 한 사람도 어떤 말을 해야 할지 전혀 몰랐습니다. 
It's on the floor. 	그게 바닥에 떨어졌어요. 
Are you ready to order? 	주문하시겠습니까? 
Which one of these do you like best? 	이것들 중 가장 마음에 드는 게 어느 거예요? 
There's no such thing as color. 	색깔 같은 것은 존재하지 않아요. 
I was just reading the article. 	마침 그 기사를 읽고 있던 중이었어요. 
We will try to keep that in mind. 	우리는 그걸 염두에 두도록 할 겁니다. 
We're really running behind schedule. 	우린 예정보다 상당히 늦어지고 있어요. 
I'll check with my boss. 	제가 사장에게 확인해 보겠습니다. 
Time and space got all mixed up. 	시간과 공간이 모두 뒤섞여 버렸습니다. 
He's cracking up. 	그는 미쳐 가고 있어요. 
That's up to you. 	그건 당신에게 달렸어요. 
I'm gonna have to give it my full attention. 	저는 그 점에 대해 최대한 주의해야 할 것입니다. 
I must have the wrong address.	제가 주소를 잘못 찾은 것 같군요. 
I was hoping to return it to her personally. 	저는 그걸 그녀에게 직접 돌려줄 수 있기를 바랐습니다. 
Edward has come to pay a call on Catherine. 	에드워드는 캐서린을 방문하러 왔습니다. 
This is what got me started in my work. 	바로 이것으로 인해 제가 제 일을 시작하게 된 겁니다. 
What do you know about gravity? 	당신은 중력에 대해 얼마나 알고 있습니까? 
What do you think of our Catherine? 	우리 캐서린에 대해서 어떻게 생각합니까? 
You took Albert Einstein for a ride? 	당신이 앨버트 아인슈타인을 태워 드렸어요? 
`When was the last time he went ``wahoo?`` `	그가 마지막으로 “와후”라고 외친 게 언제죠? 
I'm trying to figure out the best way. 	전 가장 좋은 방법을 모색하고 있는 중이에요. 
Then dinner's out of the question? 	그렇다면 저녁은 전혀 불가능한 겁니까? 
It's the opportunity of a lifetime. 	그것은 일생일대의 기회죠. 
I beg your pardon? 	다시 한 번 말씀해 주시겠어요? 
Just lend me your brain. 	그저 당신의 두뇌를 빌려주시면 됩니다. 
Are you thinking what I'm thinking? 	당신은 저와 같은 생각을 하고 있나요? 
Edward has been holding out on us. 	에드워드가 우리에게 자신을 숨기고 있었어요. 
I had this idea. 	제가 어떤 생각을 가지고 있었어요. 
I barely finished high school. 	전 고등학교를 간신히 졸업했어요. 
